,video_ID,has_title,has_description,has_tags,readability,sentence_count,word_count,word_unique,transition_words,summary_words,active_verb,video_duration,transcript_sentence_count,transcription_confidence_avg,transcript_wordcount,transcript_unique_wordcount,transcription_active_wordcount,transcription_summary_wordcount,transcription_transition_wordcount,unique_obj_count,scene_count,MED_pred,UND_pred
837,_6L8liyKl24,1,1,1,23.68071429,1,42,29,1,0,2,330,34.0,0.6775086,312.0,177.0,39.0,0.0,7.0,55.0,31.0,0,0
838,z-Tz9R6ctsc,1,1,1,15.36360947,10,169,117,3,0,17,254,27.310344827586206,0.9157408831152817,412.0959051724138,172.7176724137931,63.3739224137931,0.057112068965517244,23.773706896551722,10.0,7.0,1,1
839,Qh2H2HRcnqA,1,1,1,16.43285714,1,21,20,2,0,4,64,6.0,0.9157408831152817,61.0,48.0,13.0,0.0,2.0,3.0,15.0,1,1
840,iAGkZmwB9XM,1,1,1,19.04199596,9,275,177,6,0,22,196,7.0,0.902183877,105.0,71.0,11.0,0.0,5.0,29.0,9.0,1,1
841,oXslctvrMzw,1,1,1,11.8845,2,40,36,1,0,3,134,62.0,0.942862954,857.0,260.0,139.0,0.0,62.0,1.0,4.0,0,1
842,yr8F0QjjXqc,1,1,1,14.54515789,5,95,75,3,0,10,341,14.0,0.745813161,211.0,114.0,29.0,0.0,15.0,30.0,21.0,1,1
843,bj44NIEEES8,1,1,1,20.0832646,3,97,65,2,0,8,102,62.0,0.9157408831152817,1190.0,369.0,226.0,0.0,73.0,20.0,38.0,0,0
844,HFGJ0zeRXt4,1,1,1,13.47466667,2,45,38,4,0,7,237,36.0,0.905866422,512.0,277.0,77.0,0.0,20.0,5.0,1.0,1,1
845,Do9GCDryT3k,1,1,1,19.47636364,1,33,30,2,0,5,222,5.0,0.948370618,91.0,61.0,16.0,0.0,8.0,59.0,26.0,1,1
846,vkw22d8ZAe0,1,1,1,19.94302768,17,578,265,7,0,61,334,27.0,0.9157408831152817,336.0,180.0,33.0,0.0,20.0,39.0,33.0,0,0
847,EwvdgomJH20,1,1,1,23.68071429,1,42,29,1,0,2,344,27.310344827586206,0.9157408831152817,412.0959051724138,172.7176724137931,63.3739224137931,0.057112068965517244,23.773706896551722,48.0,1.0,0,1
848,G5Tp0MjZ5_g,1,1,1,0.0,0,0,0,0,0,0,240,18.0,0.909977297,266.0,144.0,35.0,0.0,23.0,16.0,11.0,0,1
849,9hi8suRBSSE,1,1,1,8.52224359,3,52,44,2,0,5,96,16.0,0.959014932,412.0,169.0,73.0,0.0,16.0,2.0,2.0,0,1
850,Qlf3D-sfaBo,1,1,1,10.63083333,3,44,40,2,0,8,137,42.0,0.961635143,665.0,231.0,97.0,0.0,50.0,23.0,12.0,1,1
851,_HmRSMINhiM,1,1,1,10.75958496,37,743,356,12,1,115,321,50.0,0.9157408831152817,699.0,272.0,104.0,0.0,35.0,71.0,69.0,1,1
852,A4mv0pLQwhU,1,1,1,21.80920935,19,669,308,7,0,69,353,4.0,0.9157408831152817,86.0,64.0,15.0,0.0,4.0,18.0,1.0,0,0
853,BoT0Qv0BIZs,1,1,1,19.9782365,14,418,241,10,0,47,170,25.0,0.918970562,244.0,125.0,32.0,0.0,17.0,30.0,4.0,1,1
854,FInJq_xKLH4,1,1,1,3.784912892,7,41,33,1,0,3,84,6.0,0.964244545,70.0,49.0,8.0,0.0,4.0,8.0,13.0,1,1
855,WjyQTmJBXFg,1,1,1,10.272,1,5,5,0,0,1,155,9.0,0.962262169,99.0,62.0,19.0,0.0,2.0,43.0,7.0,1,1
856,fVMvY_Lsqzw,1,1,1,14.626,2,45,35,2,0,6,289,5.0,0.9511864,60.0,39.0,8.0,0.0,1.0,87.0,70.0,1,1
857,PdH2Gp9OeFk,1,1,1,18.79806647,10,331,205,7,0,41,100,46.0,0.894039661,590.0,239.0,112.0,0.0,25.0,75.0,63.0,1,1
858,cBqeRuCUN0M,1,1,1,10.79384615,1,13,13,1,0,3,158,24.0,0.931033105,369.0,150.0,56.0,0.0,31.0,6.0,15.0,0,1
859,EEd7jqaE2eg,1,1,1,10.21863636,10,132,111,2,0,10,123,27.310344827586206,0.9157408831152817,412.0959051724138,172.7176724137931,63.3739224137931,0.057112068965517244,23.773706896551722,2.0,1.0,0,1
860,Mlx_eXtHRgQ,1,1,1,14.52166667,1,18,18,1,0,2,145,16.0,0.948676944,271.0,125.0,45.0,0.0,19.0,9.0,9.0,0,1
861,deH1uzXA1ik,1,1,1,17.84875,6,144,97,6,0,11,188,27.0,0.901140673,516.0,229.0,79.0,0.0,33.0,1.0,3.0,1,0
862,P1gB0RTqi-I,1,1,1,10.31746583,37,619,334,8,0,82,327,15.0,0.9157408831152817,107.0,70.0,17.0,0.0,2.0,43.0,1.0,0,0
863,Wtof98E8cC4,1,1,1,12.54571392,34,688,346,12,1,85,319,10.0,0.9157408831152817,208.0,120.0,29.0,0.0,16.0,9.0,3.0,0,0
